TransYearMonth,TransDate,Branch,Department,Visit,Sales
201905,2019-05-13,004,Dept2,442,93371.12
202007,2020-07-03,006,Dept1,295,148758.5
201812,2018-12-11,012,Dept1,82,43722
201810,2018-10-26,005,Dept1,96,55140.13
201806,2018-06-21,007,Dept1,108,56716.5
201909,2019-09-16,013,Dept1,39,22201.5
201906,2019-06-18,017,Dept2,82,25740.25
201906,2019-06-04,012,Dept1,54,33633.6
202007,2020-07-25,003,Dept1,128,70541
201908,2019-08-13,018,Dept2,574,75197.31
202007,2020-07-11,006,Dept2,1028,196266.9
202002,2020-02-13,006,Dept2,546,146088.15
201905,2019-05-05,019,Dept1,164,93071.5
202005,2020-05-05,002,Dept2,168,215666.17
202003,2020-03-10,010,Dept2,370,72009.5
201802,2018-02-06,009,Dept1,47,30678.5
201807,2018-07-26,002,Dept2,274,78391.67
201805,2018-05-18,009,Dept1,125,86569.5
202006,2020-06-15,010,Dept2,296,54333.75
201910,2019-10-05,004,Dept1,402,215313.1
201806,2018-06-03,002,Dept2,516,196579.5
201804,2018-04-03,006,Dept1,333,245760.31
201809,2018-09-30,016,Dept2,647,241729.95
201904,2019-04-29,012,Dept1,86,49020.5
201907,2019-07-23,012,Dept2,279,50261.5
201905,2019-05-27,019,Dept1,67,41507.5
202008,2020-08-06,012,Dept1,71,43166
202009,2020-09-30,012,Dept2,381,88745.75
201911,2019-11-14,017,Dept2,147,17711.5
202003,2020-03-02,010,Dept1,111,53856
202005,2020-05-13,002,Dept1,31,26021
202009,2020-09-12,017,Dept1,139,79609.5
201901,2019-01-04,016,Dept1,195,115151.25
201908,2019-08-21,005,Dept1,84,38000.2
201807,2018-07-08,007,Dept1,116,84155.55
201901,2019-01-17,017,Dept2,221,46132.48
201903,2019-03-14,012,Dept2,325,68425.5
201811,2018-11-14,005,Dept1,116,56875.05
201802,2018-02-27,002,Dept1,117,66023.06
201902,2019-02-28,004,Dept1,200,115771.59
201811,2018-11-22,018,Dept2,297,56402.75
202001,2020-01-09,019,Dept1,86,47983
201801,2018-01-29,002,Dept1,116,68451.5
201808,2018-08-10,014,Dept2,436,123751.3
201809,2018-09-16,013,Dept1,51,32316.29
201804,2018-04-21,003,Dept2,443,73982.5
202009,2020-09-04,017,Dept2,735,74741.2
201907,2019-07-04,019,Dept2,116,28067.75
201812,2018-12-03,012,Dept2,377,81561.55
201908,2019-08-29,005,Dept2,459,66148.1
202006,2020-06-25,008,Dept2,238,38671.8
201803,2018-03-17,014,Dept2,621,168641.5
201801,2018-01-21,002,Dept2,395,183134.25
201901,2019-01-25,019,Dept2,200,92704.33
202001,2020-01-01,017,Dept1,159,72067.06
201808,2018-08-10,007,Dept1,92,52279
201909,2019-09-06,018,Dept2,883,112207.15
202007,2020-07-19,008,Dept2,533,86842.65
201804,2018-04-11,008,Dept1,87,64731.63
202003,2020-03-10,003,Dept1,151,74232.39
201809,2018-09-30,005,Dept1,173,103237.6
201912,2019-12-07,006,Dept1,617,300550.38
201809,2018-09-22,018,Dept2,885,127915.9
202009,2020-09-12,004,Dept2,1484,222571.4
201912,2019-12-24,021,Dept2,1184,209614.7
202006,2020-06-15,003,Dept1,115,56255.5
202007,2020-07-25,010,Dept2,453,87249.3
202008,2020-08-21,012,Dept2,524,79992.05
201804,2018-04-21,010,Dept1,150,124635.5
201804,2018-04-03,015,Dept2,236,62247.5
201807,2018-07-16,009,Dept1,40,24884.74
201902,2019-02-04,017,Dept1,58,43887.7
201910,2019-10-05,017,Dept2,501,80558.8
202006,2020-06-16,021,Dept1,355,167778.5
202007,2020-07-03,015,Dept2,247,48125.7
201810,2018-10-26,016,Dept2,219,76692.3
201806,2018-06-21,014,Dept2,265,109680.75
201901,2019-01-17,004,Dept1,175,123712.32
201906,2019-06-26,004,Dept2,394,132118.25
201811,2018-11-14,016,Dept2,213,53816.25
202007,2020-07-11,015,Dept1,133,76057.5
201902,2019-02-28,017,Dept2,271,43472
202002,2020-02-05,008,Dept2,268,41371.38
201808,2018-08-28,002,Dept2,281,81096.7
201901,2019-01-04,005,Dept2,481,105565.5
201910,2019-10-19,012,Dept1,143,90640.25
202009,2020-09-20,019,Dept1,247,118609.5
201908,2019-08-21,016,Dept2,238,60676.28
201805,2018-05-26,007,Dept1,118,74983.49
201805,2018-05-12,002,Dept2,461,123420.75
201903,2019-03-27,012,Dept1,108,68525.37
201812,2018-12-29,004,Dept1,300,201519.68
202003,2020-03-01,021,Dept2,1181,220527.32
201905,2019-05-13,017,Dept1,88,64585.5
201908,2019-08-29,016,Dept1,207,106074.3
202003,2020-03-02,003,Dept2,478,68022.45
202005,2020-05-27,014,Dept1,146,87135
201911,2019-11-14,004,Dept1,313,172191.12
201806,2018-06-29,009,Dept1,54,47173.74
201907,2019-07-14,012,Dept1,171,81731.5
201801,2018-01-07,014,Dept2,944,312673.55
201802,2018-02-16,002,Dept2,364,105314.63
201811,2018-11-03,018,Dept1,184,98085.3
202003,2020-03-09,021,Dept1,255,147342
201908,2019-08-07,013,Dept1,27,12186
202009,2020-09-04,004,Dept1,527,254303.05
201910,2019-10-27,012,Dept2,634,92769.91
201912,2019-12-25,003,Dept2,503,106053.57
201906,2019-06-18,004,Dept1,146,102052.25
201906,2019-06-10,019,Dept2,136,36391.5
201810,2018-10-08,013,Dept1,47,32934.46
202002,2020-02-13,015,Dept1,154,47609.82
201808,2018-08-02,007,Dept2,192,78674.75
202001,2020-01-15,012,Dept2,325,50703.5
201911,2019-11-22,019,Dept2,281,57749.65
201803,2018-03-17,007,Dept1,208,127482.65
201807,2018-07-08,014,Dept2,651,170776.75
201908,2019-08-04,003,Dept2,391,73174.68
201909,2019-09-07,008,Dept1,135,82086
202001,2020-01-17,020,Dept1,82,36000.5
201809,2018-09-25,008,Dept1,66,42929.45
201812,2018-12-28,014,Dept2,550,167295.2
201908,2019-08-30,006,Dept2,820,207840.87
202002,2020-02-06,018,Dept1,90,43657.5
202006,2020-06-18,013,Dept2,213,30408.75
201901,2019-01-07,015,Dept1,53,27881.5
201802,2018-02-15,012,Dept1,66,45427
201907,2019-07-12,020,Dept2,499,61815.07
202007,2020-07-18,018,Dept1,138,77785
201811,2018-11-15,006,Dept1,214,134014
201807,2018-07-19,019,Dept2,224,36232.75
201910,2019-10-21,020,Dept2,677,64024
201912,2019-12-22,013,Dept1,106,60216.83
202008,2020-08-19,020,Dept1,76,41917
201810,2018-10-03,003,Dept1,158,95617.1
201908,2019-08-22,006,Dept1,300,161462.34
201902,2019-02-01,007,Dept2,233,104214.26
201901,2019-01-18,014,Dept2,383,102527.65
201806,2018-06-26,019,Dept2,239,48166.5
201801,2018-01-06,004,Dept1,259,148260.94
201901,2019-01-26,009,Dept1,80,48219.45
201910,2019-10-04,007,Dept1,140,77154.17
201912,2019-12-08,016,Dept2,409,149375.55
201808,2018-08-03,017,Dept1,56,40893
202005,2020-05-28,004,Dept2,836,197237.21
201804,2018-04-06,005,Dept1,138,86476.25
201805,2018-05-09,012,Dept1,64,61203.5
201911,2019-11-21,009,Dept1,23,13601.91
201810,2018-10-11,003,Dept2,342,65197.75
202009,2020-09-21,009,Dept2,105,25201.6
201912,2019-12-30,013,Dept2,269,35603.75
201910,2019-10-30,002,Dept1,184,106284.92
201906,2019-06-19,014,Dept2,321,74260.5
201910,2019-10-22,002,Dept2,270,57380.75
201805,2018-05-27,017,Dept2,366,97870.25
201809,2018-09-15,010,Dept1,142,90202.15
202007,2020-07-10,005,Dept2,673,59639.25
201903,2019-03-26,002,Dept2,311,121611.38
201910,2019-10-29,020,Dept1,84,37616.5
201903,2019-03-25,020,Dept2,1423,155265.3
201804,2018-04-14,018,Dept2,403,103751.25
202002,2020-02-14,005,Dept2,575,95343.7
201802,2018-02-01,017,Dept2,238,50119.25
201907,2019-07-11,002,Dept2,329,81925.5
202007,2020-07-02,005,Dept1,86,48003
202009,2020-09-05,014,Dept2,1637,313358.5
202008,2020-08-18,002,Dept1,100,49669.88
201808,2018-08-25,012,Dept1,111,69206.75
201807,2018-07-11,004,Dept1,166,100672.1
201911,2019-11-13,014,Dept2,358,205494
201811,2018-11-29,003,Dept2,568,112820.23
202001,2020-01-18,002,Dept1,180,113039.67
201902,2019-02-25,007,Dept1,66,43433.19
201810,2018-10-25,006,Dept1,310,225113.1
201906,2019-06-27,014,Dept1,179,103365.4
201811,2018-11-02,008,Dept2,198,79219.01
201803,2018-03-14,017,Dept2,209,52093
201808,2018-08-11,017,Dept2,403,67444.43
201906,2019-06-11,009,Dept1,48,38551.5
201905,2019-05-14,007,Dept2,270,38826.82
202003,2020-03-07,013,Dept2,248,50406.3
201909,2019-09-13,010,Dept1,94,59568.86
202009,2020-09-13,014,Dept1,346,157550
201806,2018-06-18,004,Dept1,124,65639.5
201902,2019-02-20,009,Dept2,106,18065
201901,2019-01-04,006,Dept1,362,242810.87
202009,2020-09-04,007,Dept2,558,87952.31
201802,2018-02-27,012,Dept1,78,42856.5
201904,2019-04-05,002,Dept2,351,92605.53
201909,2019-09-16,003,Dept1,144,62904.01
202001,2020-01-09,009,Dept1,33,23489.5
201911,2019-11-14,007,Dept2,261,48526.76
201908,2019-08-13,008,Dept2,117,24588.1
201906,2019-06-26,007,Dept1,110,49969.2
202001,2020-01-01,014,Dept2,1005,241072.54
201810,2018-10-26,015,Dept1,92,54825
201808,2018-08-02,004,Dept1,167,103648.5
201804,2018-04-03,016,Dept1,183,112499.6
201903,2019-03-14,002,Dept2,234,72220.5
201811,2018-11-14,015,Dept1,75,56846.4
201904,2019-04-28,020,Dept1,194,109534.12
201906,2019-06-03,020,Dept1,227,110671
201806,2018-06-03,012,Dept2,373,103152.75
202009,2020-09-30,002,Dept2,316,86634.6
202008,2020-08-07,020,Dept1,122,64549
201812,2018-12-11,002,Dept1,172,110616.84
202007,2020-07-03,016,Dept1,241,118539
201910,2019-10-05,014,Dept1,264,139120.11
201806,2018-06-21,017,Dept1,65,43276
201907,2019-07-23,002,Dept2,226,58490.92
201808,2018-08-10,004,Dept2,487,81242.7
202009,2020-09-12,007,Dept1,183,78781
201906,2019-06-04,002,Dept1,124,107235.5
201809,2018-09-16,003,Dept1,126,75771.03
202008,2020-08-06,002,Dept1,112,69811
202006,2020-06-25,018,Dept2,522,81811.75
201912,2019-12-07,005,Dept2,788,107760.92
201908,2019-08-07,010,Dept2,327,76331.55
201902,2019-02-04,014,Dept2,352,136996.3
202009,2020-09-29,020,Dept2,578,71160.9
201906,2019-06-18,007,Dept2,174,35657.75
202008,2020-08-27,009,Dept1,80,27990.05
201905,2019-05-05,009,Dept1,74,49540.71
201811,2018-11-22,008,Dept2,192,66145.74
201902,2019-02-12,009,Dept1,46,30394.75
201804,2018-04-21,013,Dept2,110,22257
201812,2018-12-03,002,Dept2,401,119468.28
202007,2020-07-11,016,Dept2,393,125024.35
201803,2018-03-17,004,Dept2,652,125477.75
201909,2019-09-15,021,Dept1,13,11450
201808,2018-08-18,019,Dept1,147,100686
201907,2019-07-24,020,Dept2,191,36727.16
202002,2020-02-13,016,Dept2,304,73701.9
201805,2018-05-26,004,Dept2,519,97420.5
201904,2019-04-04,020,Dept2,676,168609
201810,2018-10-08,010,Dept2,350,63114.39
201908,2019-08-29,015,Dept2,207,42303
202005,2020-05-27,017,Dept2,406,74197.8
201801,2018-01-07,017,Dept1,106,49342.21
201907,2019-07-04,009,Dept2,107,17825.25
201904,2019-04-29,002,Dept1,133,80600.55
201801,2018-01-21,012,Dept2,379,81734.75
201801,2018-01-29,012,Dept1,62,33760
201812,2018-12-29,007,Dept2,524,172418.05
201902,2019-02-28,014,Dept1,210,125502
202007,2020-07-25,013,Dept1,58,29530
201807,2018-07-08,017,Dept1,177,123915
201807,2018-07-26,012,Dept2,293,82610.75
201809,2018-09-30,006,Dept2,1159,513008.15
201905,2019-05-13,014,Dept2,422,74739.8
201908,2019-08-21,015,Dept1,54,25930
201901,2019-01-17,007,Dept2,246,86865.31
201905,2019-05-27,009,Dept1,44,31892.09
202003,2020-03-08,002,Dept1,194,116961.24
201901,2019-01-06,004,Dept2,713,228075.83
201910,2019-10-03,016,Dept2,310,64986.6
202007,2020-07-17,009,Dept2,160,28287.25
202009,2020-09-22,018,Dept1,68,36590.6
202006,2020-06-17,002,Dept1,114,64968.25
201901,2019-01-27,018,Dept2,672,114573.1
201807,2018-07-10,015,Dept2,184,52598.5
201903,2019-03-25,013,Dept1,28,14073.55
201809,2018-09-24,019,Dept2,177,57523.25
202009,2020-09-14,005,Dept2,495,68531.65
201811,2018-11-30,012,Dept1,82,51354.48
201808,2018-08-12,006,Dept1,489,264829.96
201810,2018-10-10,012,Dept1,40,19766
201805,2018-05-10,003,Dept2,423,114037.25
201908,2019-08-31,017,Dept1,169,87384.2
202008,2020-08-19,013,Dept2,166,22159.75
201906,2019-06-20,005,Dept1,122,74766.5
201909,2019-09-08,019,Dept2,756,89752.55
201801,2018-01-05,015,Dept2,226,55015.15
201812,2018-12-27,005,Dept1,111,73467
201801,2018-01-31,010,Dept2,375,116046.25
201810,2018-10-02,012,Dept2,185,46777.5
201802,2018-02-14,003,Dept2,398,89296.75
201906,2019-06-28,005,Dept2,312,73435
201912,2019-12-30,020,Dept1,273,142054.5
201805,2018-05-28,006,Dept1,237,143369.7
201807,2018-07-24,010,Dept1,144,78900.1
201902,2019-02-02,016,Dept1,224,151393.5
201811,2018-11-16,017,Dept2,220,54572.05
201905,2019-05-15,016,Dept1,112,72928.5
202002,2020-02-15,014,Dept1,547,172606.65
201810,2018-10-24,017,Dept2,205,45807.75
201807,2018-07-18,008,Dept1,97,50144
201908,2019-08-05,012,Dept1,88,53393.1
201908,2019-08-23,017,Dept2,256,64042.2
202002,2020-02-07,009,Dept2,172,36908.85
201912,2019-12-23,002,Dept2,515,150593.95
201806,2018-06-19,015,Dept2,199,82301.25
201910,2019-10-21,013,Dept1,26,13527
201811,2018-11-01,019,Dept1,56,35699.27
201808,2018-08-26,003,Dept2,409,95707.15
202003,2020-03-07,020,Dept1,154,85292.25
202007,2020-07-01,014,Dept2,669,120602.75
201911,2019-11-20,018,Dept2,284,38154.7
201808,2018-08-04,006,Dept2,961,457518.5
201806,2018-06-27,008,Dept1,81,59013.5
201911,2019-11-12,005,Dept1,63,38743.23
201912,2019-12-31,002,Dept1,569,303035.64
201910,2019-10-29,013,Dept2,131,15088.31
201804,2018-04-05,014,Dept2,254,58686.5
202007,2020-07-09,014,Dept1,276,142375.25
201803,2018-03-15,006,Dept1,247,171368.65
201901,2019-01-19,005,Dept1,161,96182.25
202005,2020-05-29,015,Dept1,62,38232.75
201804,2018-04-13,009,Dept1,93,58700.5
201910,2019-10-26,005,Dept2,776,93656.31
202001,2020-01-30,018,Dept2,949,99140.85
201907,2019-07-15,018,Dept1,181,103068
201906,2019-06-23,013,Dept1,77,37293.42
201903,2019-03-22,018,Dept1,132,93603.5
202008,2020-08-22,005,Dept1,215,101297.1
201901,2019-01-14,013,Dept2,137,38587.25
201909,2019-09-09,017,Dept1,44,20953.05
201802,2018-02-19,008,Dept2,197,40749
201803,2018-03-18,010,Dept2,382,75641.75
201805,2018-05-13,015,Dept1,109,80030.1
202008,2020-08-05,016,Dept1,127,71417.29
201806,2018-06-22,003,Dept1,134,74079.5
202002,2020-02-10,002,Dept2,416,97612.4
201812,2018-12-10,016,Dept2,344,131254.15
201812,2018-12-18,016,Dept1,157,103065.5
201807,2018-07-21,006,Dept2,1037,359803.25
201811,2018-11-25,004,Dept2,555,107956.13
202007,2020-07-14,002,Dept2,264,60051.59
201901,2019-01-11,012,Dept1,54,26657
202005,2020-05-25,021,Dept2,833,197624.2
202006,2020-06-14,009,Dept1,146,76474.77
201808,2018-08-29,008,Dept2,220,80817.09
201808,2018-08-21,015,Dept1,56,31425.24
201805,2018-05-31,010,Dept2,326,156830.75
201907,2019-07-30,016,Dept2,250,57457.4
201804,2018-04-16,007,Dept2,301,115277.03
201808,2018-08-07,010,Dept2,350,83691.19
201912,2019-12-18,009,Dept2,203,47252.08
201903,2019-03-11,016,Dept2,213,71809.5
202009,2020-09-09,013,Dept2,178,37043.2
201904,2019-04-30,016,Dept1,151,91508.5
201910,2019-10-18,018,Dept1,131,67821
201801,2018-01-02,003,Dept1,121,75680.12
202005,2020-05-24,003,Dept2,324,68034.75
201810,2018-10-07,004,Dept1,307,191748.96
201804,2018-04-02,002,Dept1,194,114313.08
202007,2020-07-05,020,Dept1,255,128711
202008,2020-08-14,018,Dept2,335,37340.7
201802,2018-02-11,015,Dept1,131,94206
201803,2018-03-12,008,Dept2,138,35268.89
201904,2019-04-06,016,Dept2,501,179051
202001,2020-01-22,005,Dept1,108,55875.05
202007,2020-07-06,002,Dept1,219,121473.87
201809,2018-09-19,017,Dept1,55,49800.5
202007,2020-07-13,020,Dept2,406,64018.2
201803,2018-03-04,015,Dept1,134,71120.1
201911,2019-11-17,013,Dept2,410,52303.29
201810,2018-10-23,019,Dept1,139,86683.45
201801,2018-01-20,006,Dept2,1239,338976.04
202009,2020-09-17,013,Dept1,41,24543
201912,2019-12-26,014,Dept1,236,121642.25
201903,2019-03-30,005,Dept2,977,173407.48
201805,2018-05-05,008,Dept2,317,88174.5
202003,2020-03-11,009,Dept1,29,23899
202006,2020-06-22,014,Dept2,609,84443.65
201907,2019-07-07,005,Dept2,958,129089.17
202002,2020-02-24,007,Dept1,50,31450.1
201901,2019-01-28,016,Dept1,186,122122
202003,2020-03-03,014,Dept2,383,56769.85
201806,2018-06-08,006,Dept2,436,185732.25
202006,2020-06-01,008,Dept2,209,46725.05
201810,2018-10-15,004,Dept2,846,139322.55
201911,2019-11-03,016,Dept1,229,139409.8
201801,2018-01-28,006,Dept1,362,218710
201906,2019-06-15,013,Dept2,137,35078.75
201807,2018-07-07,003,Dept1,176,112521.75
202002,2020-02-11,020,Dept2,507,54169.3
201912,2019-12-06,016,Dept1,188,108047
201807,2018-07-09,004,Dept2,451,130906.67
201910,2019-10-28,002,Dept2,324,73922.94
202005,2020-05-26,004,Dept1,219,131521.25
201910,2019-10-20,002,Dept1,159,111659.31
201804,2018-04-12,018,Dept1,144,78474.5
202008,2020-08-21,020,Dept2,734,78590.2
201805,2018-05-11,012,Dept2,247,103073.25
201806,2018-06-28,019,Dept1,61,31510.25
202001,2020-01-15,020,Dept2,545,75226.85
201808,2018-08-09,017,Dept1,55,32291.6
201912,2019-12-24,013,Dept2,128,20807
201910,2019-10-27,020,Dept2,1069,101790.56
201809,2018-09-17,010,Dept2,301,154906.22
201810,2018-10-27,006,Dept2,1389,267603.17
201910,2019-10-06,007,Dept2,681,120398.39
201810,2018-10-09,003,Dept1,158,80767.38
202007,2020-07-04,005,Dept2,1020,185682.5
201810,2018-10-01,003,Dept2,340,75470.25
201907,2019-07-13,002,Dept1,360,190180.31
201808,2018-08-27,012,Dept2,224,57413.62
201809,2018-09-23,008,Dept2,414,207315.55
202009,2020-09-11,014,Dept2,557,88930.45
201908,2019-08-20,006,Dept2,460,149152.54
201906,2019-06-25,014,Dept2,262,78371.5
201901,2019-01-24,009,Dept2,94,20269
202001,2020-01-16,002,Dept2,383,146147
202007,2020-07-12,005,Dept1,228,130585.1
201902,2019-02-27,007,Dept2,236,57522
201812,2018-12-30,014,Dept1,393,218720.6
202009,2020-09-03,014,Dept1,236,116550.1
201802,2018-02-17,012,Dept2,422,78392.97
201901,2019-01-05,015,Dept2,347,92881
201909,2019-09-15,010,Dept2,618,100806.55
201808,2018-08-01,017,Dept2,247,93439
202007,2020-07-20,018,Dept2,332,31527.8
201911,2019-11-23,009,Dept2,235,50553.5
201907,2019-07-14,020,Dept1,157,88582.82
202006,2020-06-16,013,Dept1,51,21220.5
201807,2018-07-17,019,Dept1,67,36129.5
201911,2019-11-15,014,Dept1,173,87065
201906,2019-06-17,014,Dept1,172,84497
201908,2019-08-28,006,Dept1,277,135934.07
201910,2019-10-19,020,Dept1,149,81097.47
202003,2020-03-09,013,Dept1,44,22392
201811,2018-11-13,006,Dept2,383,134166.75
202009,2020-09-19,009,Dept1,369,155111.2
201908,2019-08-06,003,Dept1,141,76418
201805,2018-05-25,017,Dept1,58,42148.6
201903,2019-03-28,002,Dept1,234,146906.21
201806,2018-06-20,004,Dept2,368,134075.8
201803,2018-03-16,017,Dept1,99,65120.82
202002,2020-02-12,005,Dept1,242,76931.7
202008,2020-08-20,002,Dept2,274,105056.95
201804,2018-04-04,005,Dept2,428,87792.25
201909,2019-09-05,008,Dept2,199,42793.85
201801,2018-01-08,004,Dept2,638,126484.65
201903,2019-03-27,020,Dept1,232,125263.15
202002,2020-02-04,018,Dept2,636,57191.35
